,id,object,material_detailed,period,excavation_site,connected_location,material_list,material_category,period_category,site_lat,site_long,connected_lat,connected_long
123,12_7,Wooden Ladle,Yew Wood,,South Main Street,,['Wood'],Wood,,51.897375983940044, -8.477028215602429,,
124,12_8,Weaver'S Sword,Yew Wood,,South Main Street,,['Wood'],Wood,,51.897375983940044, -8.477028215602429,,
125,12_9,Hand Carved Vessel Lid,Yew Wood,,South Main Street,,['Wood'],Wood,,51.897375983940044, -8.477028215602429,,
126,12_10,Thread Winder,Yew Wood,,South Main Street,,['Wood'],Wood,,51.897375983940044, -8.477028215602429,,
127,12_11,Lathe-Turned Stopper,Yew Wood,,South Main Street,,['Wood'],Wood,,51.897375983940044, -8.477028215602429,,
128,12_12,Stylus (Pen),Yew Wood,,South Main Street,,['Wood'],Wood,,51.897375983940044, -8.477028215602429,,
129,13_2,Shovel,Alder Wood,bronze age,Mount Gabriel,,['Wood'],Wood,Bronze Age,51.56654609921753, -9.527630590049966,,
130,13_1,Pick,"Hazel Wood, Alder Wood",bronze age,Mount Gabriel,,['Wood'],Wood,Bronze Age,51.56654609921753, -9.527630590049966,,
131,14_1,Jugs,,12-13th c,Christ Church,Ham Green,[],,Norman / Medieval,51.897227, -8.476762,51.477710568475864, -2.6765148423577942
132,14_2,Jugs,,13-late 14th c,Christ Church,Saintonge,[],,Norman / Medieval,51.897227, -8.476762,45.75, -0.633333
133,14_3,Amphora,,,Paul Street,,[],,,52.14327457042, -8.66057179778639,,
134,14_4,Olive Jar,,17th c,Skiddy'S Castle,Seville,[],,Post-Medieval / Early Modern,51.900614, -8.479397,37.38980078658528, -5.9890517414407825
135,14_5,Bellarmine Jar,,17th c,Skiddy'S Castle,Frechen,[],,Post-Medieval / Early Modern,51.900614, -8.479397,50.9198729291263, 6.780640446383521
136,14_6,Sgraffito Dish,,17th c,Adelaide Street,North Devon,[],,Post-Medieval / Early Modern,52.14327457042, -8.66057179778639,51.09399049155931, -3.9703385023531643
137,14_7,Stone Lintel,,,Old Beamish And Crawford Site,,[],,,51.897010, -8.476953,,
138,14_9,Vase,,16th c.,Christ Church,Saintonge,[],,Post-Medieval / Early Modern,51.897227, -8.476762,45.75, -0.633333
139,14_8,Drug Or Apothecaries Jar,Tin Glazed Earthenware,17-18th c,Christ Church,Dutch/English,['Tin Glazed Earthenware'],Tin Glazed Earthenware,Post-Medieval / Early Modern,51.897227, -8.476762,,
140,14_10,Glazed Mottled Ware,Pottery,,Christ Church,,['Pottery'],Pottery,,51.897227, -8.476762,,
141,14_11,Slipware Cup,Pottery,,Christ Church,"Staffordshire, Bristol",['Pottery'],Pottery,,51.897227, -8.476762,,
142,14_12,"Pot, Plates, Bowl",,17-18th c,Christ Church / Skiddy'S Castle,Delft,[],,Post-Medieval / Early Modern,52.14327457042, -8.66057179778639,52.005851992429015, 4.361807499155496
143,14_13,Wine Bottle,Glass,1770,North Gate,,['Glass'],Glass,Post-Medieval / Early Modern,52.14327457042, -8.66057179778639,,
144,14_14,Wine Bottle,Glass,early 18th c,North Gate,,['Glass'],Glass,Post-Medieval / Early Modern,52.14327457042, -8.66057179778639,,
145,14_15,Mortar,Granite,,North Gate,,['Stone'],Stone,,52.14327457042, -8.66057179778639,,
146,15_2,Effigy,Limestone,1260-1300,,,['Stone'],Stone,Norman / Medieval,,,,
147,15_3,Effigy,Limestone,1300-1350,,,['Stone'],Stone,Norman / Medieval,,,,
148,15_1,Sarcophagus,,14th c,,,[],,Norman / Medieval,,,,
149,16_6,Ridge Tiles,Pottery,post-medieval,Christ Church,North Devon,['Pottery'],Pottery,Post-Medieval / Early Modern,51.897227, -8.476762,51.09399049155931, -3.9703385023531643
150,16_3,Part Of Multiple Cresset Lamp,"Limestone, Chalk",,Christ Church,England,['Stone'],Stone,,51.897227, -8.476762,52.06119853299733, -1.9759182214981637
151,16_4,Single Cresset Lamp,Sandstone,,Christ Church,,['Stone'],Stone,,51.897227, -8.476762,,
152,16_2,Voussoir,Limestone,14-15th c,Crosse'S Green,,['Stone'],Stone,Norman / Medieval,52.14327457042, -8.66057179778639,,
153,16_7,Double Base For Cloister Pier,Limestone,,Crosse'S Green,,['Stone'],Stone,,52.14327457042, -8.66057179778639,,
154,16_1,Window Jamb,,13-14th c,Crosse'S Green,,[],,Norman / Medieval,52.14327457042, -8.66057179778639,,
155,16_5,Roof Slate,,,Washington Street,,[],,,51.897616, -8.478334,,
156,17_4,Sherd Of Pottery,Pottery,,Christ Church,Cork,['Pottery'],Pottery,,51.897227, -8.476762,51.89695533633236, -8.475504827617964
157,17_2,Feet Of Two Wine Glasses,Glass,1745-1765,South Main Street,,['Glass'],Glass,Post-Medieval / Early Modern,51.897375983940044, -8.477028215602429,,
158,17_3,Feet Of Two Wine Glasses,Glass,1760-1785,South Main Street,,['Glass'],Glass,Post-Medieval / Early Modern,51.897375983940044, -8.477028215602429,,
159,17_1,Green Glazed Jug,,,South Main Street,Les Ouillieres,[],,,51.897375983940044, -8.477028215602429,46.0680556, 4.650277777777778
160,18_1,Jar,Stone,1525-1575,Grattan Street,Frechen,['Stone'],Stone,Post-Medieval / Early Modern,51.900157, -8.480930,50.9198729291263, 6.780640446383521
161,18_2,Coins,,1470-1544,Grattan Street,,[],,Norman / Medieval,51.900157, -8.480930,,
